index,canton,sex,age,count,percentage,cases,fatalities,cases_pp,fatalities_pp
2114,FR,Female,36,2160,0.013740458015267175,10,0,0.004629629629629629,0.0
2115,FR,Female,37,2176,0.013842239185750636,4,0,0.001838235294117647,0.0
2116,FR,Female,38,2187,0.013912213740458016,14,0,0.006401463191586648,0.0
2117,FR,Female,39,2163,0.013759541984732825,8,0,0.0036985668053629217,0.0
2118,FR,Female,40,2054,0.013066157760814249,8,0,0.0038948393378773127,0.0
2119,FR,Female,41,2168,0.013791348600508907,5,0,0.0023062730627306273,0.0
2120,FR,Female,42,2145,0.013645038167938932,12,0,0.005594405594405594,0.0
2121,FR,Female,43,2099,0.013352417302798982,9,0,0.004287756074321105,0.0
2122,FR,Female,44,2224,0.014147582697201018,8,0,0.0035971223021582736,0.0
2123,FR,Female,45,2330,0.014821882951653945,5,0,0.002145922746781116,0.0
2124,FR,Female,46,2356,0.014987277353689567,17,0,0.007215619694397283,0.0
2125,FR,Female,47,2401,0.015273536895674301,12,0,0.0049979175343606835,0.0
2126,FR,Female,48,2340,0.014885496183206106,14,0,0.005982905982905983,0.0
2127,FR,Female,49,2479,0.01576972010178117,4,0,0.0016135538523598225,0.0
2128,FR,Female,50,2527,0.016075063613231553,10,0,0.003957261574990107,0.0
2129,FR,Female,51,2501,0.01590966921119593,17,0,0.006797281087564974,0.0
2130,FR,Female,52,2479,0.01576972010178117,12,0,0.004840661557079467,0.0
2131,FR,Female,53,2482,0.01578880407124682,15,0,0.0060435132957292505,0.0
2132,FR,Female,54,2467,0.015693384223918576,13,0,0.00526955816781516,0.0
2133,FR,Female,55,2373,0.015095419847328245,14,0,0.0058997050147492625,0.0
2134,FR,Female,56,2216,0.014096692111959288,8,0,0.0036101083032490976,0.0
2135,FR,Female,57,2252,0.014325699745547074,7,0,0.003108348134991119,0.0
2136,FR,Female,58,2055,0.013072519083969466,4,0,0.0019464720194647203,0.0
2137,FR,Female,59,1982,0.012608142493638676,12,0,0.006054490413723511,0.0
2138,FR,Female,60,1928,0.012264631043256997,4,0,0.002074688796680498,0.0
2139,FR,Female,61,1770,0.011259541984732824,6,0,0.003389830508474576,0.0
2140,FR,Female,62,1760,0.011195928753180661,12,0,0.006818181818181818,0.0
2141,FR,Female,63,1662,0.010572519083969466,7,0,0.00421179302045728,0.0
2142,FR,Female,64,1642,0.01044529262086514,3,0,0.0018270401948842874,0.0
2143,FR,Female,65,1497,0.009522900763358778,8,0,0.005344021376085505,0.0
2144,FR,Female,66,1601,0.010184478371501273,2,0,0.0012492192379762648,0.0
2145,FR,Female,67,1481,0.009421119592875319,1,0,0.0006752194463200541,0.0
2146,FR,Female,68,1466,0.009325699745547074,2,0,0.001364256480218281,0.0
2147,FR,Female,69,1419,0.009026717557251908,9,2,0.006342494714587738,0.0014094432699083862
2148,FR,Female,70,1467,0.00933206106870229,6,0,0.00408997955010225,0.0
2149,FR,Female,71,1425,0.009064885496183206,5,0,0.0035087719298245615,0.0
2150,FR,Female,72,1492,0.009491094147582698,5,0,0.003351206434316354,0.0
2151,FR,Female,73,1352,0.008600508905852417,3,0,0.0022189349112426036,0.0
2152,FR,Female,74,1276,0.008117048346055979,6,1,0.004702194357366771,0.0007836990595611285
2153,FR,Female,75,1213,0.007716284987277354,9,2,0.00741962077493817,0.0016488046166529267
2154,FR,Female,76,1097,0.006978371501272265,5,0,0.004557885141294439,0.0
